noise,edge,contrasts,ncorrect,ntrials,vp
NB3,0.95,0.015005,35,40,0
NB3,0.95,0.022502,40,40,0
NB3,0.95,0.03,40,40,0
NB3,0.95,0.00001,19,40,1
NB3,0.95,0.007507,26,40,1
NB3,0.95,0.015005,39,40,1
NB3,0.95,0.022502,40,40,1
NB3,0.95,0.03,40,40,1
NB3,0.95,0.00001,23,40,2
NB3,0.95,0.007507,18,40,2
NB3,0.95,0.015005,27,40,2
NB3,0.95,0.022502,36,40,2
NB3,0.95,0.03,40,40,2
NB3,0.95,0.00001,16,40,3
NB3,0.95,0.007507,26,40,3
NB3,0.95,0.015005,25,40,3
NB3,0.95,0.022502,36,40,3
NB3,0.95,0.03,39,40,3
NB3,0.95,0.00001,14,40,4
NB3,0.95,0.007507,23,40,4
NB3,0.95,0.015005,29,40,4
NB3,0.95,0.022502,38,40,4
NB3,0.95,0.03,40,40,4
NB3,0.95,0.00001,25,40,5
NB3,0.95,0.007507,17,40,5
NB3,0.95,0.015005,30,40,5
NB3,0.95,0.022502,37,40,5
NB3,0.95,0.03,39,40,5
NB9,0.048,0.00001,128,240,pooled
NB9,0.048,0.003757,140,240,pooled
NB9,0.048,0.007505,184,240,pooled
NB9,0.048,0.011252,225,240,pooled
NB9,0.048,0.015,239,240,pooled
NB9,0.048,0.00001,28,40,0
NB9,0.048,0.003757,28,40,0
NB9,0.048,0.007505,38,40,0
NB9,0.048,0.011252,39,40,0
NB9,0.048,0.015,40,40,0
NB9,0.048,0.00001,19,40,1
NB9,0.048,0.003757,22,40,1
NB9,0.048,0.007505,27,40,1
NB9,0.048,0.011252,35,40,1
NB9,0.048,0.015,40,40,1
NB9,0.048,0.00001,18,40,2
NB9,0.048,0.003757,23,40,2
NB9,0.048,0.007505,33,40,2
NB9,0.048,0.011252,37,40,2
NB9,0.048,0.015,40,40,2
NB9,0.048,0.00001,23,40,3
NB9,0.048,0.003757,20,40,3
NB9,0.048,0.007505,27,40,3
NB9,0.048,0.011252,37,40,3
NB9,0.048,0.015,39,40,3
NB9,0.048,0.00001,20,40,4
NB9,0.048,0.003757,23,40,4
NB9,0.048,0.007505,30,40,4
NB9,0.048,0.011252,38,40,4
NB9,0.048,0.015,40,40,4
NB9,0.048,0.00001,20,40,5
NB9,0.048,0.003757,24,40,5
NB9,0.048,0.007505,29,40,5
NB9,0.048,0.011252,39,40,5
NB9,0.048,0.015,40,40,5
NB9,0.15,0.00001,116,240,pooled
NB9,0.15,0.001883,143,240,pooled
NB9,0.15,0.003755,194,240,pooled
NB9,0.15,0.005627,226,240,pooled
NB9,0.15,0.0075,231,240,pooled
NB9,0.15,0.00001,18,40,0
NB9,0.15,0.001883,27,40,0
NB9,0.15,0.003755,39,40,0
NB9,0.15,0.005627,39,40,0
NB9,0.15,0.0075,40,40,0
NB9,0.15,0.00001,20,40,1
NB9,0.15,0.001883,19,40,1
NB9,0.15,0.003755,27,40,1
NB9,0.15,0.005627,29,40,1
NB9,0.15,0.0075,34,40,1
NB9,0.15,0.00001,20,40,2
NB9,0.15,0.001883,21,40,2
NB9,0.15,0.003755,30,40,2
NB9,0.15,0.005627,39,40,2
NB9,0.15,0.0075,39,40,2
NB9,0.15,0.00001,21,40,3
NB9,0.15,0.001883,25,40,3
NB9,0.15,0.003755,23,40,3
